timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2011-06-30,501.9900,506.6700,501.5000,506.3800,253.9740,4851900,0.0000,1.0000
2011-06-29,496.5400,500.2500,492.3800,497.5700,249.5554,4681300,0.0000,1.0000
2011-06-28,484.0200,496.2075,484.0200,493.6500,247.5893,5424700,0.0000,1.0000
2011-06-27,474.0000,488.4000,473.6000,482.8000,242.1475,6882500,0.0000,1.0000
2011-06-24,480.6800,480.7500,473.0200,474.8800,238.1752,7603500,0.0000,1.0000
2011-06-23,482.1300,482.8600,473.7300,480.2200,240.8535,9593700,0.0000,1.0000
2011-06-22,491.4500,492.3500,486.7300,487.0050,244.2565,4809300,0.0000,1.0000
2011-06-21,487.1900,493.9400,484.7340,493.0000,247.2633,5525200,0.0000,1.0000
2011-06-20,485.0000,486.2300,479.2300,484.5800,243.0402,6051100,0.0000,1.0000
2011-06-17,506.1800,506.6900,484.8000,485.0200,243.2609,10480300,0.0000,1.0000
2011-06-16,502.8100,506.5700,496.6700,500.3700,250.9597,5508400,0.0000,1.0000
2011-06-15,505.0300,508.3500,500.6100,502.9500,252.2537,4142400,0.0000,1.0000
2011-06-14,508.1500,514.0800,506.9900,508.3700,254.9721,4678300,0.0000,1.0000
2011-06-13,510.0000,510.2000,502.1700,504.7300,253.1464,4849700,0.0000,1.0000
2011-06-10,514.0800,516.6900,509.2900,509.5050,255.5413,4874900,0.0000,1.0000
2011-06-09,520.0000,520.0000,515.6400,516.7300,259.1650,3374800,0.0000,1.0000
2011-06-08,516.5300,521.2400,515.7800,519.1700,260.3888,3303400,0.0000,1.0000
2011-06-07,522.8900,524.6300,518.9900,519.0300,260.3186,3811300,0.0000,1.0000
2011-06-06,525.1800,526.8182,519.2500,521.0600,261.3367,3880300,0.0000,1.0000
2011-06-03,522.0000,527.6000,521.5000,523.0800,262.3498,3493500,0.0000,1.0000
2011-06-02,527.5700,530.3000,522.4800,528.0600,264.8476,4404500,0.0000,1.0000
2011-06-01,528.0400,533.1999,525.3100,525.6000,263.6138,5905800,0.0000,1.0000
2011-05-31,525.0000,529.0500,523.5000,529.0200,265.3290,5369200,0.0000,1.0000
2011-05-27,518.4800,521.7900,516.3000,520.9000,261.2565,3488100,0.0000,1.0000
2011-05-26,517.7000,522.1200,515.0000,518.1300,259.8672,4232700,0.0000,1.0000
2011-05-25,517.3300,522.7700,517.2500,519.6700,260.6396,2600500,0.0000,1.0000
2011-05-24,520.3700,523.9620,518.1500,518.2600,259.9324,3796200,0.0000,1.0000
2011-05-23,516.6000,520.0000,513.4000,518.3900,259.9976,4595400,0.0000,1.0000
2011-05-20,531.8000,531.9900,523.1300,524.0300,262.8263,4630300,0.0000,1.0000
2011-05-19,532.7300,536.5400,529.7200,531.2500,266.4475,4932400,0.0000,1.0000
2011-05-18,529.5400,530.3300,525.7000,529.8100,265.7253,3902400,0.0000,1.0000
2011-05-17,515.4300,531.2200,515.0300,530.4600,266.0513,6600500,0.0000,1.0000
2011-05-16,526.3100,527.2700,516.4000,518.4200,260.0126,5910400,0.0000,1.0000
2011-05-13,534.6100,535.9200,529.0500,529.5500,265.5949,4213100,0.0000,1.0000
2011-05-12,535.2400,536.9400,530.9100,535.0500,268.3534,2893700,0.0000,1.0000
2011-05-11,540.1400,543.5471,533.6900,535.4500,268.5540,4672900,0.0000,1.0000
2011-05-10,540.0000,544.4300,537.5400,542.6600,272.1702,4081700,0.0000,1.0000
